mysql> select left(i,4),nat_id,incomeclass.x as incomeBracket,sum(expense.x),sum(q),count(*) from expense,incomeclass where f=fs_id  group by nat_id,incomeclass.x,left(i,4);
+-----------+--------+---------------+----------------+--------+----------+
| left(i,4) | nat_id | incomeBracket | sum(expense.x) | sum(q) | count(*) |
| 0513      |      1 |             5 |        805.500 |      9 |        9 |
| 0520      |      1 |             5 |      81847.620 |   4775 |     3009 |
| 0531      |      1 |             5 |      55419.535 |    996 |      910 |
| 0532      |      1 |             5 |      17015.770 |   1373 |     1148 |
| 0533      |      1 |             5 |      12030.150 |    594 |      522 |
| 0540      |      1 |             5 |      92041.670 |   9467 |     4424 |
| 0551      |      1 |             5 |       1316.850 |     82 |       75 |
| 0552      |      1 |             5 |      21711.345 |   3555 |     1737 |
| 0561      |      1 |             5 |      99448.479 |  40216 |    21340 |
| 0562      |      1 |             5 |     314890.340 |   3440 |     3008 |
| 0611      |      1 |             5 |      17051.995 |   1465 |     1194 |
| 0612      |      1 |             5 |        957.535 |    240 |      198 |
| 0613      |      1 |             5 |       8889.760 |    246 |      228 |
| 0621      |      1 |             5 |       9537.500 |    370 |      367 |
| 0622      |      1 |             5 |       8982.650 |    121 |      120 |
| 0623      |      1 |             5 |       7799.825 |     74 |       67 |
| 0624      |      1 |             5 |        592.000 |     15 |       10 |
| 0630      |      1 |             5 |      29977.930 |     61 |       54 |
