mysql> select fid1,fid2,mem1,mem2,count(*) from mdetail group by fid1,fid2,mem1,mem2;
+------+------+------+------+----------+
| fid1 | fid2 | mem1 | mem2 | count(*) |
|   73 |   73 |   11 |    2 |        3 |
|   73 |   73 |   11 |    3 |        3 |
|   73 |   73 |   11 |    4 |        3 |
|   73 |   73 |   11 |    5 |        3 |
|   73 |   73 |   11 |    6 |        3 |
|   73 |   73 |   11 |    7 |        3 |
|   73 |   73 |   11 |    8 |        3 |
|   73 |   73 |   11 |    9 |        3 |
|   73 |   73 |   11 |   10 |        3 |
|   73 |   73 |   11 |   11 |        3 |
|   76 |   76 |    1 |    1 |        3 |
|   76 |   76 |    1 |    2 |        3 |
|   76 |   76 |    1 |    3 |        3 |
|   76 |   76 |    1 |    4 |        3 |
|   76 |   76 |    1 |    5 |        3 |
|   76 |   76 |    1 |    6 |        3 |
|   76 |   76 |    2 |    1 |        3 |
|   76 |   76 |    2 |    2 |        3 |
|   76 |   76 |    2 |    3 |        3 |
|   76 |   76 |    2 |    4 |        3 |
|   76 |   76 |    2 |    5 |        3 |
|   76 |   76 |    2 |    6 |        3 |
|   77 |   77 |    1 |    1 |        3 |
|   77 |   77 |    1 |    2 |        3 |
|   77 |   77 |    1 |    3 |        3 |
|   77 |   77 |    2 |    1 |        3 |
|   77 |   77 |    2 |    2 |        3 |
|   77 |   77 |    2 |    3 |        3 |
|   79 |   79 |    1 |    1 |        3 |
|   79 |   79 |    1 |    2 |        3 |
|   79 |   79 |    1 |    3 |        3 |
|   79 |   79 |    1 |    4 |        3 |
|   79 |   79 |    2 |    1 |        3 |
|   79 |   79 |    2 |    2 |        3 |
|   79 |   79 |    2 |    3 |        3 |
|   79 |   79 |    2 |    4 |        3 |
|   80 |   80 |    1 |    1 |        3 |
|   80 |   80 |    1 |    2 |        3 |
|   80 |   80 |    1 |    3 |        3 |
|   80 |   80 |    1 |    4 |        3 |
|   80 |   80 |    1 |    5 |        3 |
|   80 |   80 |    1 |    6 |        3 |
|   80 |   80 |    1 |    7 |        3 |
|   80 |   80 |    1 |    8 |        3 |
|   80 |   80 |    1 |    9 |        3 |
|   80 |   80 |    1 |   10 |        3 |
|   80 |   80 |    1 |   11 |        3 |
|   80 |   80 |    1 |   12 |        3 |
|   80 |   80 |    5 |    1 |        3 |
|   80 |   80 |    5 |    2 |        3 |
|   80 |   80 |    5 |    3 |        3 |
|   80 |   80 |    5 |    4 |        3 |
|   80 |   80 |    5 |    5 |        3 |
|   80 |   80 |    5 |    6 |        3 |
|   80 |   80 |    5 |    7 |        3 |
|   80 |   80 |    5 |    8 |        3 |
|   80 |   80 |    5 |    9 |        3 |
|   80 |   80 |    5 |   10 |        3 |
|   80 |   80 |    5 |   11 |        3 |
|   80 |   80 |    5 |   12 |        3 |
|   81 |   81 |    1 |    1 |        3 |
|   81 |   81 |    1 |    2 |        3 |
|   81 |   81 |    1 |    3 |        3 |
|   81 |   81 |    1 |    4 |        3 |
|   81 |   81 |    1 |    5 |        3 |
|   81 |   81 |    1 |    6 |        3 |
|   81 |   81 |    2 |    1 |        3 |
|   81 |   81 |    2 |    2 |        3 |
|   81 |   81 |    2 |    3 |        3 |
|   81 |   81 |    2 |    4 |        3 |
|   81 |   81 |    2 |    5 |        3 |
|   81 |   81 |    2 |    6 |        3 |
|   81 |   81 |    3 |    1 |        3 |
|   81 |   81 |    3 |    2 |        3 |
|   81 |   81 |    3 |    3 |        3 |
|   81 |   81 |    3 |    4 |        3 |
|   81 |   81 |    3 |    5 |        3 |
|   81 |   81 |    3 |    6 |        3 |
|   81 |   81 |    4 |    1 |        3 |
|   81 |   81 |    4 |    2 |        3 |
|   81 |   81 |    4 |    3 |        3 |
|   81 |   81 |    4 |    4 |        3 |
|   81 |   81 |    4 |    5 |        3 |
|   81 |   81 |    4 |    6 |        3 |
|   81 |   81 |    5 |    1 |        3 |
|   81 |   81 |    5 |    2 |        3 |
|   81 |   81 |    5 |    3 |        3 |
|   81 |   81 |    5 |    4 |        3 |
|   81 |   81 |    5 |    5 |        3 |
|   81 |   81 |    5 |    6 |        3 |
|   84 |   84 |    1 |    1 |        3 |
|   84 |   84 |    1 |    2 |        3 |
|   84 |   84 |    2 |    1 |        3 |
|   84 |   84 |    2 |    2 |        3 |
|   86 |   86 |    1 |    1 |        3 |
|   86 |   86 |    1 |    2 |        3 |
|   86 |   86 |    1 |    3 |        3 |
|   86 |   86 |    1 |    4 |        3 |
|   86 |   86 |    1 |    5 |        3 |
|   86 |   86 |    1 |    6 |        3 |
|   86 |   86 |    1 |    7 |        3 |
|   86 |   86 |    1 |    8 |        3 |
|   86 |   86 |    2 |    1 |        3 |
|   86 |   86 |    2 |    2 |        3 |
|   86 |   86 |    2 |    3 |        3 |
|   86 |   86 |    2 |    4 |        3 |
|   86 |   86 |    2 |    5 |        3 |
|   86 |   86 |    2 |    6 |        3 |
|   86 |   86 |    2 |    7 |        3 |
|   86 |   86 |    2 |    8 |        3 |
|   86 |   86 |    3 |    1 |        3 |
|   86 |   86 |    3 |    2 |        3 |
|   86 |   86 |    3 |    3 |        3 |
|   86 |   86 |    3 |    4 |        3 |
|   86 |   86 |    3 |    5 |        3 |
|   86 |   86 |    3 |    6 |        3 |
|   86 |   86 |    3 |    7 |        3 |
|   86 |   86 |    3 |    8 |        3 |
|   87 |   87 |    1 |    1 |        3 |
|   87 |   87 |    1 |    2 |        3 |
|   88 |   88 |    1 |    1 |        3 |
|   88 |   88 |    1 |    2 |        3 |
|   88 |   88 |    1 |    3 |        3 |
|   88 |   88 |    1 |    4 |        3 |
|   88 |   88 |    1 |    5 |        3 |
|   88 |   88 |    1 |    6 |        3 |
|   88 |   88 |    1 |    7 |        3 |
|   88 |   88 |    1 |    8 |        3 |
|   88 |   88 |    1 |    9 |        3 |
|   88 |   88 |    1 |   10 |        3 |
|   88 |   88 |    2 |    1 |        3 |
|   88 |   88 |    2 |    2 |        3 |
|   88 |   88 |    2 |    3 |        3 |
|   88 |   88 |    2 |    4 |        3 |
|   88 |   88 |    2 |    5 |        3 |
|   88 |   88 |    2 |    6 |        3 |
|   88 |   88 |    2 |    7 |        3 |
|   88 |   88 |    2 |    8 |        3 |
|   88 |   88 |    2 |    9 |        3 |
|   88 |   88 |    2 |   10 |        3 |
|   88 |   88 |    3 |    1 |        3 |
|   88 |   88 |    3 |    2 |        3 |
|   88 |   88 |    3 |    3 |        3 |
|   88 |   88 |    3 |    4 |        3 |
|   88 |   88 |    3 |    5 |        3 |
|   88 |   88 |    3 |    6 |        3 |
|   88 |   88 |    3 |    7 |        3 |
|   88 |   88 |    3 |    8 |        3 |
|   88 |   88 |    3 |    9 |        3 |
|   88 |   88 |    3 |   10 |        3 |
|   88 |   88 |    4 |    1 |        3 |
|   88 |   88 |    4 |    2 |        3 |
|   88 |   88 |    4 |    3 |        3 |
|   88 |   88 |    4 |    4 |        3 |
|   88 |   88 |    4 |    5 |        3 |
|   88 |   88 |    4 |    6 |        3 |
|   88 |   88 |    4 |    7 |        3 |
|   88 |   88 |    4 |    8 |        3 |
|   88 |   88 |    4 |    9 |        3 |
|   88 |   88 |    4 |   10 |        3 |
|   88 |   88 |    5 |    1 |        3 |
|   88 |   88 |    5 |    2 |        3 |
|   88 |   88 |    5 |    3 |        3 |
|   88 |   88 |    5 |    4 |        3 |
|   88 |   88 |    5 |    5 |        3 |
|   88 |   88 |    5 |    6 |        3 |
|   88 |   88 |    5 |    7 |        3 |
|   88 |   88 |    5 |    8 |        3 |
|   88 |   88 |    5 |    9 |        3 |
|   88 |   88 |    5 |   10 |        3 |
|   91 |   91 |    1 |    1 |        3 |
|   91 |   91 |    1 |    2 |        3 |
|   91 |   91 |    1 |    3 |        3 |
|   91 |   91 |    1 |    4 |        3 |
|   91 |   91 |    1 |    5 |        3 |
|   93 |   93 |    1 |    1 |        3 |
|   93 |   93 |    1 |    2 |        3 |
|   95 |   95 |    1 |    1 |        3 |
|   95 |   95 |    1 |    2 |        3 |
|   95 |   95 |    1 |    3 |        3 |
|   96 |   96 |    1 |    1 |        3 |
|   96 |   96 |    1 |    2 |        3 |
|   96 |   96 |    1 |    3 |        3 |
|   96 |   96 |    1 |    4 |        3 |
|   96 |   96 |    1 |    5 |        3 |
|   96 |   96 |    1 |    6 |        3 |
|   96 |   96 |    3 |    1 |        3 |
|   96 |   96 |    3 |    2 |        3 |
|   96 |   96 |    3 |    3 |        3 |
|   96 |   96 |    3 |    4 |        3 |
